PNR,SourceSystemTicketingDate,SupplierTicketingDate,SourceSystem,SupplierName,SourceSystemStatus,SupplierStatus,IsOrphan,PCC,TicketingAgentSignOn
DD03QP,,2025-09-10T17:57:59.164+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCX920,,2025-09-10T17:57:11.876+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DD0483,,2025-09-10T17:59:27.977+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCM21X,,2025-09-10T18:06:41.147+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DD0745,,2025-09-10T18:11:45.927+00:00,,Galileo,,Ticketed,TRUE,52AU,Z52AUGWS
DD072Y,,2025-09-10T18:15:52.649+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DD09H0,,2025-09-10T18:26:00.425+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DD0963,,2025-09-10T18:42:41.935+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DBVD14,,2025-09-10T18:27:08.823+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DCZQ62,,2025-09-10T17:14:51.725+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DD0F7R,,2025-09-10T18:48:52.815+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DD0K7C,,2025-09-10T19:04:37.155+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DD0FN8,,2025-09-10T18:59:25.676+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCZDC6,,2025-09-10T19:09:11.443+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DD0M7B,,2025-09-10T19:13:17.228+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCYBVS,,2025-09-10T17:21:03.385+00:00,,Galileo,,Ticketed,TRUE,,
DCNR0S,,2025-09-10T00:34:04.009+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCNLKJ,,2025-09-10T00:02:35.606+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCNP4M,,2025-09-10T00:24:30.196+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCNPJM,,2025-09-10T00:23:53.992+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCNN1M,,2025-09-10T00:18:02.412+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCNSB4,,2025-09-10T00:46:33.837+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCNS9V,,2025-09-10T00:46:26.017+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCNVZY,,2025-09-10T01:09:53.441+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCNLZ5,,2025-09-10T01:13:08.902+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCNRSK,,2025-09-10T00:41:19.616+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCM3CF,,2025-09-10T01:25:43.635+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCPBWW,,2025-09-10T02:54:00.336+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCP6SW,,2025-09-10T02:28:54.510+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCP25K,,2025-09-10T01:56:35.465+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCPLR6,,2025-09-10T03:45:18.277+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCPXFP,,2025-09-10T04:45:58.099+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCPZ2Z,,2025-09-10T04:49:32.868+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCPQ7C,,2025-09-10T04:05:45.002+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCPYH5,,2025-09-10T04:46:22.795+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
