SP_PNR,AIRLINE_PNR,BOOKING_DATE
CM0CBK,78V3UI,2025-06-20 23:45:13
CM0CH8,78V4EU,2025-06-20 23:46:41
CLYKLN,OFJZPQ,2025-06-20 23:46:53
CM0CDL,,2025-06-20 23:48:53
CM0CRH,143NR8,2025-06-20 23:49:17
CM0CRC,IJNQQS,2025-06-20 23:49:17
CM0CSW,143NRA,2025-06-20 23:49:43
CM0CWD,78XT4A,2025-06-20 23:50:28
CM0CDL,,2025-06-20 23:50:32
CM0CWP,98H9G6,2025-06-20 23:50:32
CM0CYK,143NRC,2025-06-20 23:51:01
CM0CZ9,143NRD,2025-06-20 23:51:20
CM0CDL,,2025-06-20 23:51:24
CM0D0N,143NRE,2025-06-20 23:51:45
CM0D27,78VZGB,2025-06-20 23:52:22
CM0D33,78W7AB,2025-06-20 23:52:35
CM0CDL,,2025-06-20 23:52:55
CM0D03,,2025-06-20 23:54:43
CM0DCC,78YKQH,2025-06-20 23:55:22
CM0DD7,78X3UU,2025-06-20 23:55:34
CM0D03,,2025-06-20 23:55:34
CM0DG4,78WLJH,2025-06-20 23:56:12
CM0D4P,,2025-06-20 23:56:34
CM0DKD,78XJHV,2025-06-20 23:57:20
CM0DLM,78Y7MA,2025-06-20 23:57:46
CM0D4P,,2025-06-20 23:57:55
CM0DRJ,78XIWL,2025-06-20 23:59:16
CM0DS7,143NRM,2025-06-20 23:59:31
