SP_PNR,AIRLINE_PNR,BOOKING_DATE
CLSCQ3,KC45QN,2025-06-20 09:04:08
CLSCT1,MCR45S,2025-06-20 09:04:38
CLSD89,,2025-06-20 09:06:49
CLSD89,,2025-06-20 09:06:49
CLSDDL,JSYSRJ,2025-06-20 09:07:35
CLSDFK,73O8RU,2025-06-20 09:07:44
CLSDP3,98GS46,2025-06-20 09:08:54
CLSDQH,,2025-06-20 09:11:33
CLSDQH,,2025-06-20 09:12:19
CLSFL9,IMZZTW,2025-06-20 09:13:23
CLSFQ7,143LTR,2025-06-20 09:14:04
CLSF35,,2025-06-20 09:14:53
CLSFZC,73OV6K,2025-06-20 09:15:22
CLSG4H,73OL3G,2025-06-20 09:16:15
CLSGHQ,LFOXKY,2025-06-20 09:17:47
CLSF35,,2025-06-20 09:18:22
CLSDQH,,2025-06-20 09:20:15
,,2025-06-20 09:20:50
CLSHM5,73PAQ6,2025-06-20 09:22:48
CLSHRY,73QY6E,2025-06-20 09:23:30
CLSHSN,LPDDFS,2025-06-20 09:23:37
CLSG3J,,2025-06-20 09:24:40
CLSJ5C,,2025-06-20 09:25:23
CLSJNQ,98GSFN,2025-06-20 09:27:30
CLSJZK,98GSGK,2025-06-20 09:28:48
CLSJZV,,2025-06-20 09:28:49
CLSK1H,98GSGP,2025-06-20 09:29:00
CLNPVV,ELZTNA,2025-06-20 09:30:49
CLSKL3,YUHINM,2025-06-20 09:31:25
CLSF35,98GS5G,2025-06-20 09:31:59
CLSKV5,73SQOW,2025-06-20 09:32:39
CLSLR7,LEMMTP,2025-06-20 09:36:24
CLSLTN,73UDOT,2025-06-20 09:36:46
CLRY9T,7358A6,2025-06-20 09:37:38
CLSM26,98GSN4,2025-06-20 09:37:47
CLSM4Z,73UQ32,2025-06-20 09:38:10
CLSMH2,73SVS2,2025-06-20 09:39:34
CLSN4P,LPREAK,2025-06-20 09:42:20
CLRBST,CLRBST,2025-06-20 09:46:08
CLSP8H,73V24A,2025-06-20 09:46:44
CLSPS9,,2025-06-20 09:52:05
CLSQ90,,2025-06-20 09:52:24
CLSR42,LPGHXE,2025-06-20 09:53:55
CLSRNP,135923,2025-06-20 09:55:51
CLSRRJ,98GT8J,2025-06-20 09:56:10
CLSS3J,LSDVNV,2025-06-20 09:57:32
CLSSH7,LQSTCS,2025-06-20 09:59:06
CLSSHQ,73YI6C,2025-06-20 09:59:11
CLSS0Z,,2025-06-20 10:00:11
CLSSXF,,2025-06-20 10:01:50
CLST8G,LOYOFZ,2025-06-20 10:02:07
CLSSXF,,2025-06-20 10:02:40
CLSSXF,,2025-06-20 10:03:27
CLSTYM,GLSUDJ,2025-06-20 10:04:48
CLSVTF,SVV4DE,2025-06-20 10:07:58
CLQC38,LHXWI6,2025-06-20 10:08:52
CLSVQC,,2025-06-20 10:09:41
CLSWZ2,08AF57,2025-06-20 10:12:15
CLSXGZ,LFBFLB,2025-06-20 10:14:19
CLSY3G,,2025-06-20 10:16:39
CLSYKS,VBMH6F,2025-06-20 10:18:18
CLPMTR,EGDWCN,2025-06-20 10:19:33
CLSZ3J,743QHB,2025-06-20 10:20:21
CLSZ6B,SXXCJK,2025-06-20 10:20:46
CLSZJF,GLDKYU,2025-06-20 10:21:59
CLT056,743PHA,2025-06-20 10:24:27
CLT0J9,08AF6P,2025-06-20 10:25:48
CLT0ST,HGP8W2,2025-06-20 10:26:50
CLT14K,745GL4,2025-06-20 10:28:01
CLT1L4,YUCTVL,2025-06-20 10:29:32
CLSYJT,08AF5V,2025-06-20 10:30:03
CLT1TF,CBSSH6,2025-06-20 10:30:18
CLT21P,13593T,2025-06-20 10:31:07
CLT2PY,08AF7F,2025-06-20 10:33:37
CLT306,746OKP,2025-06-20 10:34:40
CLT3F8,747CIB,2025-06-20 10:36:12
CLT3FV,746EUT,2025-06-20 10:36:15
CLT3PC,GJBFFA,2025-06-20 10:37:09
CLT3PP,135943,2025-06-20 10:37:11
CLT43J,747QW8,2025-06-20 10:38:34
CLT46W,98GUDT,2025-06-20 10:39:04
CLT50D,,2025-06-20 10:41:54
CLT5HT,749OB2,2025-06-20 10:43:40
CLT5SY,B7STHF,2025-06-20 10:44:47
CLT6FF,7488W8,2025-06-20 10:47:08
CLT7W1,74AWCA,2025-06-20 10:52:11
CLT87M,749THF,2025-06-20 10:53:25
CLT8XP,74C8ZK,2025-06-20 10:55:47
CLT143,08AF6W,2025-06-20 10:59:06
